"latitude","longitude","confidence"
-29.094,131.303,100
-29.078,131.34,98
-29.08,131.321,100
-29.082,131.302,92
-29.066,131.338,100
-29.068,131.319,88
-29.086,131.336,100
-29.088,131.317,100
-29.09,131.298,76
-29.074,131.334,100
-29.076,131.315,77
-29.062,131.333,98
-29.246,128.085,74
-29.233,128.077,100
-29.236,128.044,71
-29.216,128.107,86
-29.218,128.075,89
-29.22,128.043,100
-29.205,128.042,83
-29.207,128.009,100
-29.176,128.231,100
-29.192,128.008,72
-29.148,128.197,82
-29.208,128.037,88
-29.211,128.005,92
-29.178,128.226,100
-29.196,128.003,89
-29.15,128.192,79
-29.13,128.253,100
-29.135,128.191,91
-29.115,128.252,83
-29.12,128.19,97
-29.13,128.062,95
-29.1,128.251,100
-29.103,128.219,100
-29.105,128.188,79
-29.088,128.218,100
-29.09,128.187,94
-29.092,128.155,90
-29.095,128.123,97
-29.073,128.216,100
-29.075,128.185,91
-29.058,128.215,95
-29.101,128.243,96
-29.104,128.212,88
-29.089,128.211,100
-29.094,128.148,94
-29.096,128.116,70
-29.074,128.209,100
-29.059,128.208,96
-29.044,128.207,100
-29.018,128.141,66
-28.85,128.782,94
-28.836,128.78,89
-28.848,128.774,72
-28.831,128.801,80
-28.814,128.827,100
-28.816,128.799,100
-28.819,128.771,84
-28.8,128.826,83
-28.802,128.798,100
-28.804,128.77,66
-28.788,128.796,89
-28.772,128.621,91
-28.775,128.592,99
-28.777,128.563,100
-28.779,128.534,91
-28.76,128.591,90
-28.762,128.562,100
-28.764,128.533,94
-28.771,128.617,94
-28.774,128.588,98
-28.776,128.559,100
-28.759,128.586,87
-28.762,128.557,100
-28.764,128.528,69
-28.742,128.614,95
-28.745,128.585,100
-28.747,128.556,100
-28.749,128.527,88
-28.728,128.612,99
-28.73,128.583,97
-28.732,128.554,98
-28.718,128.553,90
-28.639,128.597,76
-28.641,128.568,100
-28.597,128.563,67
-28.576,128.648,100
-28.583,128.562,94
-28.585,128.533,80
-28.575,128.643,100
-28.582,128.557,85
-28.572,128.497,97
-28.526,128.522,100
-28.528,128.493,96
-28.524,128.514,100
-28.527,128.485,73
-28.434,129.224,98
-28.42,129.223,100
-28.423,129.197,79
-28.395,129.195,87
-28.361,129.422,89
-28.346,129.446,100
-28.348,129.421,98
-28.353,129.442,91
-28.355,129.417,85
-28.339,129.44,100
-27.885,131.946,100
-27.889,131.912,67
-27.892,131.88,75
-27.876,131.928,93
-27.877,131.911,100
-27.881,131.878,100
-27.864,131.926,100
-27.866,131.91,100
-27.869,131.877,94
-27.853,131.925,100
-27.855,131.908,100
-27.841,131.923,100
-27.843,131.907,100
-27.832,131.905,95
-27.841,131.933,73
-27.843,131.917,100
-27.831,131.915,85
-27.833,131.899,73
-27.785,128.602,85
-27.783,128.595,84
-27.745,128.153,88
-27.73,128.152,100
-27.756,128.209,67
-27.746,128.148,71
-27.731,128.147,100
-26.502,125.769,74
-26.485,125.768,92
-26.5,125.765,78
-26.483,125.764,93
-25.374,130.181,100
-25.372,130.176,100
-25.354,130.233,78
-25.36,130.175,100
-25.339,130.251,76
-25.341,130.231,93
